Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iraq,IRQ,7289760.0,7475350.0,7674220.0,7888913.0,8122197.0,8375790.0,8651162.0,8947404.0,9260682.0,9585576.0,9917983.0,10255850.0,10599668.0,10950888.0,11312062.0,11684590.0,12068676.0,12462070.0,12860680.0,13259113.0,13653354.0,14044117.0,14432468.0,14815656.0,15190393.0,15555800.0,15909762.0,16257070.0,16612322.0,16994948.0,17419113.0,17889459.0,18402734.0,18955085.0,19539340.0,20149338.0,20783073.0,21439574.0,22114324.0,22802064.0,23497585.0,24208180.0,24931919.0,25644499.0,26313838.0,26922284.0,27448124.0,27911248.0,28385746.0,28973162.0,29741976.0,30725300.0,31890011.0,33157050.0,34411951.0,35572261.0,36610632.0,37552781.0,38433600.0
Jordan,JOR,933102.0,973988.0,1010658.0,1050213.0,1102399.0,1173606.0,1267062.0,1378998.0,1500163.0,1617428.0,1721323.0,1809182.0,1883935.0,1948442.0,2007735.0,2065913.0,2123180.0,2179363.0,2237943.0,2303122.0,2377995.0,2464867.0,2563534.0,2671413.0,2784463.0,2900049.0,3015299.0,3131796.0,3256558.0,3399330.0,3565890.0,3760496.0,3977672.0,4201555.0,4410359.0,4588843.0,4732854.0,4848541.0,4943975.0,5031762.0,5122493.0,5217336.0,5317506.0,5434030.0,5580244.0,5765635.0,5991540.0,6255280.0,6556478.0,6893260.0,7261539.0,7663131.0,8090872.0,8520420.0,8920049.0,9266575.0,9551467.0,9779173.0,9956011.0
Oman,OMN,551740.0,564893.0,578823.0,593504.0,608889.0,625009.0,642001.0,660114.0,679595.0,700729.0,723851.0,748968.0,776380.0,806986.0,841950.0,882047.0,927436.0,977804.0,1032799.0,1091852.0,1154377.0,1220585.0,1290111.0,1361087.0,1431070.0,1498418.0,1561185.0,1619863.0,1678110.0,1741156.0,1812161.0,1893768.0,1983275.0,2072104.0,2148419.0,2204277.0,2236654.0,2249762.0,2251864.0,2254904.0,2267973.0,2294962.0,2334858.0,2386166.0,2445517.0,2511251.0,2580758.0,2657158.0,2750963.0,2876186.0,3041434.0,3251108.0,3498029.0,3764805.0,4027260.0,4267348.0,4479219.0,4665935.0,4829483.0
Saudi Arabia,SAU,4086539.0,4218853.0,4362786.0,4516533.0,4677298.0,4843635.0,5015357.0,5195135.0,5387828.0,5599904.0,5836389.0,6100626.0,6392970.0,6711923.0,7054532.0,7419493.0,7802926.0,8207697.0,8646845.0,9137927.0,9691476.0,10311775.0,10988853.0,11701128.0,12418834.0,13118993.0,13794165.0,14445671.0,15070082.0,15666297.0,16233785.0,16772694.0,17282691.0,17763298.0,18214470.0,18638787.0,19033845.0,19407142.0,19783304.0,20194527.0,20663843.0,21202642.0,21805313.0,22456649.0,23132682.0,23816183.0,24498310.0,25184597.0,25888541.0,26630303.0,27421461.0,28267685.0,29155187.0,30052518.0,30916994.0,31717667.0,32442572.0,33099147.0,33699947.0
"Yemen, Rep.",YEM,5315355.0,5393036.0,5473671.0,5556766.0,5641597.0,5727751.0,5816247.0,5907874.0,6001852.0,6097035.0,6193384.0,6290365.0,6390574.0,6500816.0,6629999.0,6784695.0,6967941.0,7178675.0,7414158.0,7669694.0,7941898.0,8231910.0,8541605.0,8869370.0,9213084.0,9572175.0,9941109.0,10322043.0,10730862.0,11189177.0,11709993.0,12302124.0,12954155.0,13634076.0,14297613.0,14913315.0,15469274.0,15975668.0,16450310.0,16921149.0,17409072.0,17918373.0,18443691.0,18985000.0,19540098.0,20107409.0,20687646.0,21282515.0,21892146.0,22516460.0,23154855.0,23807588.0,24473178.0,25147109.0,25823485.0,26497889.0,27168210.0,27834821.0,28498687.0
