Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,BGD,48013504.0,49362843.0,50752157.0,52202007.0,53741716.0,55385112.0,57157654.0,59034249.0,60918454.0,62679765.0,64232482.0,65531633.0,66625705.0,67637530.0,68742233.0,70066301.0,71652381.0,73463584.0,75450032.0,77529045.0,79639491.0,81767515.0,83932127.0,86142495.0,88416521.0,90764183.0,93187603.0,95671163.0,98186350.0,100695497.0,103171956.0,105599127.0,107983704.0,110350639.0,112737683.0,115169930.0,117649932.0,120160564.0,122682815.0,125189651.0,127657854.0,130088702.0,132478086.0,134791603.0,136986432.0,139035505.0,140921167.0,142660376.0,144304167.0,145924797.0,147575430.0,149273778.0,151007807.0,152764676.0,154520167.0,156256276.0,157970840.0,159670593.0,161356039.0
India,IND,450547679.0,459642165.0,469077190.0,478825608.0,488848135.0,499123324.0,509631500.0,520400576.0,531513824.0,543084336.0,555189792.0,567868018.0,581087256.0,594770134.0,608802600.0,623102897.0,637630087.0,652408776.0,667499806.0,682995354.0,698952844.0,715384993.0,732239504.0,749428958.0,766833410.0,784360008.0,801975244.0,819682102.0,837468930.0,855334678.0,873277798.0,891273209.0,909307016.0,927403860.0,945601831.0,963922588.0,982365243.0,1000900030.0,1019483581.0,1038058156.0,1056575549.0,1075000085.0,1093317189.0,1111523144.0,1129623456.0,1147609927.0,1165486291.0,1183209472.0,1200669765.0,1217726215.0,1234281170.0,1250288729.0,1265782790.0,1280846129.0,1295604184.0,1310152403.0,1324509589.0,1338658835.0,1352617328.0
Sri Lanka,LKA,9874476.0,10111637.0,10352179.0,10597511.0,10849975.0,11110820.0,11380670.0,11657650.0,11937600.0,12214956.0,12485740.0,12747821.0,13002231.0,13252036.0,13501935.0,13755146.0,14012899.0,14273495.0,14533690.0,14788862.0,15035834.0,15272831.0,15501207.0,15724651.0,15948487.0,16176280.0,16408859.0,16643952.0,16878189.0,17106753.0,17325773.0,17535729.0,17736821.0,17924823.0,18094477.0,18242912.0,18367288.0,18470900.0,18564599.0,18663284.0,18777601.0,18911730.0,19062482.0,19224037.0,19387153.0,19544988.0,19695972.0,19842044.0,19983984.0,20123508.0,20261737.0,20398670.0,20425000.0,20585000.0,20778000.0,20970000.0,21203000.0,21444000.0,21670000.0
Nepal,NPL,10105050.0,10267264.0,10433145.0,10604621.0,10783967.0,10972912.0,11172529.0,11382967.0,11603928.0,11834654.0,12074626.0,12323982.0,12583140.0,12852206.0,13131260.0,13420369.0,13719471.0,14028536.0,14347641.0,14676929.0,15016402.0,15367230.0,15729431.0,16100617.0,16477473.0,16858310.0,17239673.0,17623693.0,18020753.0,18445028.0,18905478.0,19405504.0,19938320.0,20489975.0,21040904.0,21576071.0,22090352.0,22584775.0,23057883.0,23509964.0,23941110.0,24347106.0,24725627.0,25080872.0,25419344.0,25744500.0,26066693.0,26382581.0,26666576.0,26883535.0,27013212.0,27041437.0,26989862.0,26917906.0,26906926.0,27015031.0,27261131.0,27627124.0,28087871.0
Pakistan,PAK,44988690.0,46065231.0,47198878.0,48387301.0,49627623.0,50917975.0,52260189.0,53655789.0,55102684.0,56598144.0,58142060.0,59734481.0,61381987.0,63099406.0,64905998.0,66816877.0,68834326.0,70958169.0,73197258.0,75561131.0,78054343.0,80680459.0,83431605.0,86285935.0,89213706.0,92191510.0,95215378.0,98285755.0,101389603.0,104512881.0,107647921.0,110778648.0,113911126.0,117086685.0,120362762.0,123776839.0,127349290.0,131057431.0,134843233.0,138624621.0,142343578.0,145978402.0,149549700.0,153093373.0,156664697.0,160304008.0,164022627.0,167808105.0,171648986.0,175525609.0,179424641.0,183340592.0,187281475.0,191262919.0,195306825.0,199426964.0,203627284.0,207896686.0,212215030.0
